购物水果[SEP]黑龙江省绥化市[SEP]最近有点上火，想吃点水果	橙子功效
购物水果[SEP]黑龙江省绥化市[SEP]最近有点上火，想吃点水果[SEP]橙子功效[SEP]不怎么喜欢吃橙子哈哈	柚子功效
购物水果[SEP]黑龙江省绥化市[SEP]最近有点上火，想吃点水果[SEP]橙子功效[SEP]不怎么喜欢吃橙子哈哈[SEP]柚子功效[SEP]主要是懒，不经常吃那些吃起来很麻烦的水果，哈哈	不检索
购物水果[SEP]黑龙江省绥化市[SEP]最近有点上火，想吃点水果[SEP]橙子功效[SEP]不怎么喜欢吃橙子哈哈[SEP]柚子功效[SEP]主要是懒，不经常吃那些吃起来很麻烦的水果，哈哈[SEP]不检索[SEP]嗯嗯，我很喜欢吃香蕉，香蕉也利于下火。你平时喜欢吃什么水果呢？	不检索
购物水果[SEP]黑龙江省绥化市[SEP]最近有点上火，想吃点水果[SEP]橙子功效[SEP]不怎么喜欢吃橙子哈哈[SEP]柚子功效[SEP]主要是懒，不经常吃那些吃起来很麻烦的水果，哈哈[SEP]不检索[SEP]嗯嗯，我很喜欢吃香蕉，香蕉也利于下火。你平时喜欢吃什么水果呢？[SEP]不检索[SEP]哈哈，你喜欢的这些都不便宜，尤其是草莓和芒果，我都吃不起。	不检索
购物电子设备[SEP]四川省南充市[SEP]去图书馆借书好麻烦呀，我想要借的书又没有了。	电子书
购物电子设备[SEP]四川省南充市[SEP]去图书馆借书好麻烦呀，我想要借的书又没有了。[SEP]电子书[SEP]哦？那我要怎么看电子书呢？	kindle阅读器
购物电子设备[SEP]四川省南充市[SEP]去图书馆借书好麻烦呀，我想要借的书又没有了。[SEP]电子书[SEP]哦？那我要怎么看电子书呢？[SEP]kindle阅读器[SEP]那一个kindle可以放多少本书呢？	Kindle内存
购物电子设备[SEP]四川省南充市[SEP]去图书馆借书好麻烦呀，我想要借的书又没有了。[SEP]电子书[SEP]哦？那我要怎么看电子书呢？[SEP]kindle阅读器[SEP]那一个kindle可以放多少本书呢？[SEP]Kindle内存[SEP]原来是这样，那kindle确实方便多了。你一般在什么地方下载电子书呢？	电子书资源
购物电子设备[SEP]四川省南充市[SEP]去图书馆借书好麻烦呀，我想要借的书又没有了。[SEP]电子书[SEP]哦？那我要怎么看电子书呢？[SEP]kindle阅读器[SEP]那一个kindle可以放多少本书呢？[SEP]Kindle内存[SEP]原来是这样，那kindle确实方便多了。你一般在什么地方下载电子书呢？[SEP]电子书资源[SEP]哇，这也太棒了，我现在就去选kindle.	不检索
购物水果木瓜[SEP]重庆市重庆郊县[SEP]你喜欢吃木瓜吗？	不检索
购物水果木瓜[SEP]重庆市重庆郊县[SEP]你喜欢吃木瓜吗？[SEP]不检索[SEP]是吗？木瓜还可以做甜品吗？能做什么甜品？	木瓜能做的甜品。
购物水果木瓜[SEP]重庆市重庆郊县[SEP]你喜欢吃木瓜吗？[SEP]不检索[SEP]是吗？木瓜还可以做甜品吗？能做什么甜品？[SEP]木瓜能做的甜品。[SEP]哦，那好吃吗？我没吃过。	不检索
